Series Id    CUUR0000SA0

Not Seasonally Adjusted
Series Title All items in U.S. city average, all urban consumers, not seasonally adjusted
Area         U.S. city average
Item         All items
Base Period  1982-84=100


Year,Annual
1926,17.7
1927,17.4
1928,17.1
1929,17.1
1930,16.7
1931,15.2
1932,13.7
1933,13.0
1934,13.4
1935,13.7
1936,13.9
1937,14.4
1938,14.1
1939,13.9
1940,14.0
1941,14.7
1942,16.3
1943,17.3
1944,17.6
1945,18.0
1946,19.5
1947,22.3
1948,24.1
1949,23.8
1950,24.1
1951,26.0
1952,26.5
1953,26.7
1954,26.9
1955,26.8
1956,27.2
1957,28.1
1958,28.9
1959,29.1
1960,29.6
1961,29.9
1962,30.2
1963,30.6
1964,31.0
1965,31.5
1966,32.4
1967,33.4
1968,34.8
1969,36.7
1970,38.8
1971,40.5
1972,41.8
1973,44.4
1974,49.3
1975,53.8
1976,56.9
1977,60.6
1978,65.2
1979,72.6
1980,82.4
1981,90.9
1982,96.5
1983,99.6
1984,103.9
1985,107.6
1986,109.6
1987,113.6
1988,118.3
1989,124.0
1990,130.7
1991,136.2
1992,140.3
1993,144.5
1994,148.2
1995,152.4
1996,156.9
1997,160.5
1998,163.0
1999,166.6
2000,172.2
2001,177.1
2002,179.9
2003,184.0
2004,188.9
2005,195.3
2006,201.6
2007,207.342
2008,215.303
2009,214.537
2010,218.056
2011,224.939
2012,229.594
2013,232.957
2014,236.736
2015,237.017
2016,240.007
2017,245.120
2018,251.107
2019,255.657
2020,258.811

12-Month Percent Change
Series Id    CUUR0000SA0

Not Seasonally Adjusted
Series Title All items in U.S. city average, all urban consumers, not seasonally adjusted
Area         U.S. city average
Item         All items
Base Period  1982-84=100


Year,Annual
1926,1.1
1927,-1.7
1928,-1.7
1929,0.0
1930,-2.3
1931,-9.0
1932,-9.9
1933,-5.1
1934,3.1
1935,2.2
1936,1.5
1937,3.6
1938,-2.1
1939,-1.4
1940,0.7
1941,5.0
1942,10.9
1943,6.1
1944,1.7
1945,2.3
1946,8.3
1947,14.4
1948,8.1
1949,-1.2
1950,1.3
1951,7.9
1952,1.9
1953,0.8
1954,0.7
1955,-0.4
1956,1.5
1957,3.3
1958,2.8
1959,0.7
1960,1.7
1961,1.0
1962,1.0
1963,1.3
1964,1.3
1965,1.6
1966,2.9
1967,3.1
1968,4.2
1969,5.5
1970,5.7
1971,4.4
1972,3.2
1973,6.2
1974,11.0
1975,9.1
1976,5.8
1977,6.5
1978,7.6
1979,11.3
1980,13.5
1981,10.3
1982,6.2
1983,3.2
1984,4.3
1985,3.6
1986,1.9
1987,3.6
1988,4.1
1989,4.8
1990,5.4
1991,4.2
1992,3.0
1993,3.0
1994,2.6
1995,2.8
1996,3.0
1997,2.3
1998,1.6
1999,2.2
2000,3.4
2001,2.8
2002,1.6
2003,2.3
2004,2.7
2005,3.4
2006,3.2
2007,2.8
2008,3.8
2009,-0.4
2010,1.6
2011,3.2
2012,2.1
2013,1.5
2014,1.6
2015,0.1
2016,1.3
2017,2.1
2018,2.4
2019,1.8
2020,1.2
